service,avg_eta_drift,drift_variability,avg_volatility
76,0.49834741094381196,19.588818266773167,17.708042600073448
136,0.49758842443729906,17.416282440903906,15.27331189710611
299,0.4961340206185567,19.182653064248065,17.40077319587629
4,0.49582463465553234,16.163657627472794,14.289144050104385
80,0.4957493320378917,18.98466963499703,17.018460043721156
99,0.4945464982778416,12.680178843794502,10.629448909299656
159,0.49361702127659574,15.719076074790319,13.75531914893617
116,0.4875,15.838408991262707,13.64375
329,0.4867162592986185,15.243941382937251,13.577045696068012
49,0.48659440958357103,17.842856912229923,15.375356531660012
151,0.485955822197982,17.04734931251429,14.691028088355605
100,0.48580518844836024,15.740759965268301,13.466715614292706
240,0.48406374501992033,12.511526048928257,10.294156706507303
17,0.48204667863554757,16.5694884878925,14.41113105924596
229,0.48156424581005586,15.694134821533908,13.654748603351955
359,0.48142957252978275,14.247271776522823,11.529782761037142
161,0.47962962962962963,14.64398022225202,12.41172839506173
73,0.47739969527679027,15.288041388455952,13.457592686642966
985,0.477015558698727,17.593547089499015,15.724540311173975
324,0.47692307692307695,15.46372466861657,13.793846153846154
974,0.47505800464037123,16.40848851520362,14.398491879350349
374,0.4738330975954738,16.580743545842893,14.708628005657708
86,0.4641604010025063,18.02862133653665,15.727318295739348
972M,0.46384653221839645,19.636053644166726,17.531234628627644
154,0.4634146341463415,15.377855643640912,13.024582293067025
984,0.4624773960216998,18.299086704822347,16.297920433996385
198,0.4611164891900613,17.743237780601824,15.262020006453694
913T,0.4594594594594595,5.9920914299733194,4.693693693693693
92,0.4593698175787728,14.21067067721705,12.248756218905474
196,0.4590340664079344,15.770483675991954,13.418068132815868
51,0.45856900452488686,18.147387049579386,15.780967194570136
68,0.4530087897227857,16.39974429878563,14.500338066260987
84G,0.4523449319213313,16.827905614536554,14.776096822995461
34,0.4512860483242401,15.487747918190164,12.890880748246298
66,0.4512785072563925,19.160317941881818,16.923980649619903
147,0.4495291902071563,14.726833787996773,12.632956685499058
96,0.44759825327510916,15.722514648321775,13.443231441048034
90,0.4474885844748858,18.554843127001867,16.407305936073058
912B,0.44603629417383,14.237090393694302,12.57593123209169
131,0.4453685116145684,17.99996288883041,15.836822483510181
78,0.4447821681864235,17.85683167683694,15.419452887537993
805,0.439873417721519,12.892073953553327,10.962025316455696
325,0.4346456692913386,15.872474342638688,13.596850393700787
188,0.4343928280358598,17.923011728519402,15.505840804129313
157,0.43275129778197263,16.104569883729468,14.152902312411515
861A,0.4318181818181818,18.10485959082209,12.886363636363637
282,0.43028846153846156,16.465515506064328,14.40625
201,0.42846212700841624,15.449221799758336,13.293037490436113
242,0.4271186440677966,11.263955019680713,9.172881355932203
859,0.4263356718834323,15.673835257314678,13.547760388559093
63,0.4255700743018191,16.798349728160538,14.607481424545222
854,0.4235138705416116,14.949104168836312,12.775429326287979
55,0.4228898426323319,17.59493806985148,15.486123032904148
966,0.42208165612420934,15.464056696715135,12.802760207015526
950,0.419921875,14.411937647829376,10.517578125
382W,0.41975308641975306,13.991295802848745,12.070546737213403
88,0.4189152357590624,14.803742704451704,12.384028345598256
74,0.41695278969957084,14.852518594228039,12.419098712446353
973,0.416195856873823,16.889284129540606,15.033898305084746
124,0.4129979035639413,15.37511271632959,13.45163222521713
243G,0.4114671163575042,9.488399925592713,7.504215851602024
252,0.4108463434675431,18.402136622144926,16.363188167625307
162,0.4088594704684318,19.578007115926937,17.566700610997962
72,0.4042486722899094,12.291370222361005,10.064354889097157
163,0.40418410041841,16.205668730610167,14.010320781032078
171,0.4031117397454031,16.3039127183648,14.21074964639321
870,0.4,16.08625166304748,14.243564356435643
176,0.3936400867260901,16.663203759834314,14.264514574801252
801,0.3909512761020882,13.237631986269108,10.940835266821345
170,0.3895839394821065,20.47836920007539,17.92755309863253
803,0.38620689655172413,12.39863204523144,10.344827586206897
187,0.3826058201058201,16.144242360196486,13.72255291005291
249,0.38185975609756095,16.78076175601921,14.62576219512195
179,0.3806881243063263,8.99039141240141,7.037735849056604
975B,0.375,9.11072550069072,7.708333333333333
103,0.37396408839779005,17.385261628665685,15.220649171270718
354,0.37176470588235294,14.480896750520081,12.390588235294118
222,0.3686165273909007,13.439547258712585,11.297121634168988
883,0.3673792557403009,16.08514232161487,13.74505146476643
410W,0.36469221835075494,13.319835123789172,11.409988385598142
901,0.34856175972927245,12.179045374455407,10.785109983079526
272,0.34623217922606925,16.454336351070072,14.60285132382892
859B,0.34505494505494505,18.71222046299061,16.762637362637363
285,0.3436123348017621,15.490774992653662,13.236417033773861
804,0.3419633225458468,11.739735079060132,9.565264293419633
101,0.33464345873104995,14.903369510014183,12.91184727681078
372,0.33180252583237657,12.82083026119005,10.446613088404133
861,0.3257086026852312,15.508939179077304,13.33416210840378
89,0.32495164410058025,16.32863924049478,13.511283043197936
84W,0.3236151603498542,16.32356039569273,13.775510204081632
284,0.3219178082191781,11.868785448426648,10.280821917808218
50,0.31404011461318054,15.398814149925842,13.071633237822349
269,0.3137931034482759,12.274728896612661,10.720689655172414
172,0.3130550621669627,15.594174381003056,13.27486678507993
273,0.3128834355828221,16.71967090442777,14.631901840490798
38,0.30974842767295596,19.012924959376413,17.07285115303983
180,0.3095938787522072,15.20947479208231,12.533254855797528
335,0.30796460176991153,16.17401026027692,14.012389380530973
184,0.3076923076923077,14.442099835433746,12.325443786982248
231,0.30447330447330445,15.95263745624344,14.053391053391053
170X,0.3029126213592233,14.567750323120793,10.714563106796117
812,0.3002291825821238,13.051210880681621,11.194041252864782
872,0.29789473684210527,16.51077164730133,14.093684210526316
291,0.297148114075437,12.560828832400487,9.943882244710212
969,0.2965142598460842,12.368269344415037,10.04753282028067
904,0.2895981087470449,12.596235394374052,11.112293144208039
225G,0.2794871794871795,10.618233323567388,9.294871794871796
857,0.2754927163667524,13.723837022040653,10.944730077120823
243W,0.274442538593482,9.227749238201904,7.214408233276158
800,0.2722772277227723,12.076998887092621,10.668316831683168
858,0.26937394247038915,11.943043265631701,9.612859560067681
25,0.26774397972116604,13.318989652685643,10.83871989860583
912A,0.2655440414507772,12.451856104850586,10.69559585492228
991,0.2592,15.640232661145756,13.265066666666666
241,0.25874125874125875,9.722849352622898,8.023776223776224
87,0.25227568270481143,14.115666033159716,11.724317295188557
190,0.24594813614262562,11.809110508148397,9.378849270664505
262,0.24505494505494504,16.481691437387177,14.546153846153846
410G,0.24442082890541977,13.247311377534421,11.069075451647183
301,0.24147727272727273,10.927469976646979,9.886363636363637
806,0.24084507042253522,10.326395136754732,8.004225352112677
941,0.24081632653061225,14.212592543186593,12.268027210884354
901M,0.2374331550802139,13.01503371536016,11.32620320855615
232,0.22784810126582278,12.377613144323709,10.359493670886076
900,0.21711229946524063,9.854668031764604,8.101604278074866
225W,0.21710526315789475,11.997754335065903,10.375
333,0.21604139715394566,16.475878155445997,14.309184993531694
825,0.2159090909090909,18.40472431833406,16.369318181818183
856,0.21471774193548387,13.423518748233235,10.832997311827956
27,0.21398795738767948,11.680309420448081,9.471977767484947
292,0.21223021582733814,16.464045283260358,14.517985611510792
265,0.21113243761996162,12.22564018929671,9.741522712731927
29,0.20849005910800644,19.428572046115764,17.443310048361095
235,0.20833333333333334,11.491086008148224,9.950203252032521
315,0.2078125,13.142888327336268,10.809375
169,0.19824196160074023,13.151126574564605,10.82327087670599
920,0.1958610495195861,14.966656649325028,12.964523281596453
913,0.19030390738060782,8.683798912751419,6.919681620839364
911T,0.1875,9.128491938943972,6.46875
945,0.18019257221458046,14.68406469223457,12.458046767537827
302,0.1782608695652174,8.739038849834927,7.165217391304348
811,0.1751740139211137,9.188712746157444,7.31322505800464
947,0.1726078799249531,13.607143750373229,12.022514071294559
142,0.1713917525773196,16.231399474451827,14.230670103092784
807,0.16974900924702774,9.526023580220018,7.566050198150594
293,0.1659361302442079,11.981005929643121,9.594865372573576
334,0.16422287390029325,13.565107570614153,11.454545454545455
261,0.15469613259668508,11.73689152798123,9.123388581952117
979,0.14427860696517414,14.30812399028851,11.766169154228855
98,0.14358974358974358,17.59793723016946,14.760839160839161
238,0.14120667522464697,6.798274700389837,5.383825417201541
922,0.122568093385214,13.655254486560468,11.394941634241246
268,0.09711779448621553,16.24514292961655,13.280075187969924
983,0.09099616858237548,11.898272688353897,9.454980842911878
903,0.08472686733556299,9.820916588169787,8.423634336677814
911,0.08212147134302823,9.171226797705861,7.591103507271172
962,0.07380281690140846,14.307449747641167,11.939718309859154
992,0.06119027661357921,11.069432073706492,8.80553227158424
302A,0.027777777777777776,22.465605775929994,18.25
179B,0.02666666666666667,16.582287304598612,13.36
925,-0.05952380952380952,18.132553798815174,15.979166666666666
300,-0.06976744186046512,10.429150060962764,7.710963455149502
964,-0.26737967914438504,14.509656943756346,11.349732620320856
13A,-0.75,22.1472345903501,20.05
857B,-1.155844155844156,14.18400223293179,10.480519480519481
112A,-1.206896551724138,21.84912438641883,19.75862068965517
5A,-1.3157894736842106,15.315397595517132,13.421052631578947
