id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
206,2025-11-16T17:38:08.133Z,1519,107M,2025-11-16T10:06:34.000Z,1705.866662,17,38,1,28.43111103333333,,
19704,2025-11-16T19:39:40.876Z,1519,107M,2025-11-16T11:46:43.000Z,422.123839,19,39,1,7.035397316666666,28.43111103333333,-21.395713716666663
39090,2025-11-16T20:42:40.045Z,1519,107M,2025-11-16T12:49:18.000Z,397.954278,20,42,1,6.6325712999999995,7.035397316666666,-0.4028260166666664
208,2025-11-16T17:38:08.133Z,1519,961M,2025-11-16T09:43:57.000Z,348.866662,17,38,1,5.814444366666667,,
19706,2025-11-16T19:39:40.876Z,1519,961M,2025-11-16T11:54:07.000Z,866.123839,19,39,1,14.435397316666666,5.814444366666667,8.62095295
39092,2025-11-16T20:42:40.045Z,1519,961M,2025-11-16T12:50:04.000Z,443.954278,20,42,1,7.399237966666666,14.435397316666666,-7.03615935
209,2025-11-16T17:38:08.133Z,1519,980,2025-11-16T09:46:07.000Z,478.866662,17,38,1,7.981111033333334,,
19707,2025-11-16T19:39:40.876Z,1519,980,2025-11-16T11:39:42.000Z,1.123839,19,39,1,0.01873065,7.981111033333334,-7.9623803833333335
39093,2025-11-16T20:42:40.045Z,1519,980,2025-11-16T12:53:02.000Z,621.954278,20,42,1,10.365904633333335,0.01873065,10.347173983333334
210,2025-11-16T17:38:08.133Z,1521,100,2025-11-16T09:51:06.000Z,777.866662,17,38,1,12.964444366666667,,
19708,2025-11-16T19:39:40.876Z,1521,100,2025-11-16T11:44:41.000Z,300.123839,19,39,1,5.002063983333333,12.964444366666667,-7.962380383333334
39094,2025-11-16T20:42:40.045Z,1521,100,2025-11-16T12:54:19.000Z,698.954278,20,42,1,11.649237966666668,5.002063983333333,6.647173983333335
212,2025-11-16T17:38:08.133Z,1521,961M,2025-11-16T09:43:37.000Z,328.866662,17,38,1,5.481111033333334,,
19710,2025-11-16T19:39:40.876Z,1521,961M,2025-11-16T12:02:04.000Z,1343.123839,19,39,1,22.38539731666667,5.481111033333334,16.904286283333334
39096,2025-11-16T20:42:40.045Z,1521,961M,2025-11-16T13:08:17.000Z,1536.954278,20,42,1,25.615904633333333,22.38539731666667,3.230507316666664
214,2025-11-16T17:38:08.133Z,1529,100,2025-11-16T09:40:19.000Z,130.866662,17,38,1,2.181111033333333,,
19712,2025-11-16T19:39:40.876Z,1529,100,2025-11-16T12:09:24.000Z,1783.123839,19,39,1,29.71873065,2.181111033333333,27.537619616666667
39098,2025-11-16T20:42:40.045Z,1529,100,2025-11-16T12:52:24.000Z,583.954278,20,42,1,9.7325713,29.71873065,-19.98615935
239,2025-11-16T17:38:08.133Z,1629,100,2025-11-16T09:44:19.000Z,370.866662,17,38,1,6.181111033333334,,
19736,2025-11-16T19:39:40.876Z,1629,100,2025-11-16T11:41:10.000Z,89.123839,19,39,1,1.4853973166666667,6.181111033333334,-4.695713716666667
39122,2025-11-16T20:42:40.045Z,1629,100,2025-11-16T12:56:05.000Z,804.954278,20,42,1,13.415904633333334,1.4853973166666667,11.930507316666667
240,2025-11-16T17:38:08.133Z,1629,107M,2025-11-16T10:08:13.000Z,1804.866662,17,38,1,30.081111033333332,,
19737,2025-11-16T19:39:40.876Z,1629,107M,2025-11-16T11:47:44.000Z,483.123839,19,39,1,8.052063983333333,30.081111033333332,-22.02904705
39123,2025-11-16T20:42:40.045Z,1629,107M,2025-11-16T12:50:45.000Z,484.954278,20,42,1,8.0825713,8.052063983333333,0.030507316666666284
39133,2025-11-16T20:42:40.045Z,2029,167,2025-11-16T12:46:20.000Z,219.954278,20,42,1,3.665904633333333,,
